Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.06059522,67.58527374,68.74897003,75.2,71.054245,72.18950653,79.5,74.40947723,75.48954773,81.19999695,77.6078949,78.6517334,79.70118713,76.59999847,82.61000061,77.7991333,82.09999847,85.21899414,86.37011719,90.09999847,90.19999695,90.61813354,88,90.69999695,93.44181824,94.01000214,99.5,96.5,97.80000305,97.80000305,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.80000305,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,99.30000305,100,100,100,99.71469116,100,100,100,100,99.76393127,100,100,100,100,100,100,100,100,100,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,94.39466095,94.58172607,94.76247406,94.93373871,95.09236908,95.2352066,95.35908508,95.46252441,95,95.61405945,95.69219208,95.77594757,95.87226868,95.98809814,98.06713867,96.28922272,96.46524811,96.65067291,96.99964142,96.31336212,97.20643616,97.3738327,97.52978516,96.90000153,97.81497955,97.96857452,97.90000153,98.48000336,98.33164978,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.571038,96.038393,93,94.36116028,96.7,95.815075,96.1,97.837216,95.8121109,94.21113586,88.57920837,94,96.1399765,89.92088318,95.17073059,98.19528198,99.22794342,98.87411499,98.81232452,99.07926178,99.23293304,99.52007294,99.31084442,99.46434784,99.5,99.40000153,99.5,99.48000336,100,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.538681,98.21937561,97.523788,98.033975,98.59862518,98.589696,98.915038,99.056926,99.137016,99.186252,99.02290344,99.21511841,99.42699432,99.50418091,99.58530426,99.63481903,99.70874023,99.78144836,99.82174683,99.85167694,99.80000305,99.8985672,99.92742157,99.93501282,99.94555664,99.95619965,99.90000153,99.90000153,99.90000153,100,100,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,99.98738861,100,100,99.86257172,99.83374023,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.73999786,97.08712006,97.20254517,97.40000153,97.45719147,96.77638245,97.78777313,98.73000336,98.19932556,98.42203522,99.30555725,99.37976074,99.59999847,99.46709442,99.48758698,99.67128754,99.8473587,99.09999847,99.99046326,100,100,
